1 1.96224
2 2.88444
3 3.7151
4 4.4611
5 5.15789
6 5.83638
7 6.6087
8 7.35469
9 8.02517
10 8.51602
11 9.20938
12 9.85698
13 10.5698
14 11.0492
15 11.5458
16 12.0195
17 12.5824
18 12.9016
19 13.2025
20 13.6785
21 14.0744
22 14.5778
23 15.0892
24 15.3238
25 15.7128
26 16.1613
27 16.5904
28 16.7895
29 17.0549
30 17.4371
31 17.5686
32 17.8135
33 18.0835
34 18.3501
35 18.643
36 19.0103
37 19.2666
38 19.4851
39 19.611
40 19.6705
41 19.9805
42 20.1144
43 20.4256
44 20.6911
45 20.8135
46 21.0114
47 21.4222
48 21.6751
49 21.9668
50 22.1705
51 22.6121
52 22.9211
53 23.1384
54 23.5503
55 23.9199
56 24.2128
57 24.6568
58 25.0686
59 25.4416
60 25.8593
61 26.4073
62 26.7243
63 27.1865
64 27.889
65 28.3993
66 28.8879
67 29.3947
68 29.9462
69 30.4897
70 31.1133
71 31.8215
72 32.3764
73 33.1602
74 33.9336
75 34.8238
76 35.5526
77 36.3764
78 37.3947
79 38.3993
80 40
