2 3 3 5 9 15 25 29 22 25 26 28 27 30 33 34 33 36 39 40 
2 3 5 8 10 10 12 13 15 13 10 14 21 19 26 32 36 36 39 40 
2 4 3 5 6 3 7 11 8 10 10 15 19 22 28 34 38 39 38 40 
2 5 6 9 10 8 11 12 20 28 32 31 30 35 37 38 38 39 39 40 
2 5 7 9 9 13 18 13 17 22 21 26 28 31 34 35 34 35 36 40 
4 6 11 15 21 20 24 20 18 12 14 18 21 26 30 35 37 36 39 40 
2 3 5 7 11 16 19 15 18 24 22 23 23 28 26 29 31 35 37 40 
4 8 7 16 20 17 16 20 25 19 18 22 28 29 33 32 33 38 39 40 
3 3 3 8 4 9 9 13 14 14 17 22 22 29 32 34 36 36 36 40 
3 2 2 3 4 10 8 9 13 21 22 22 27 31 32 36 38 38 39 40 
2 5 6 10 15 16 16 15 17 17 22 24 22 25 25 25 34 34 39 40 
1 2 3 5 5 13 14 11 15 18 20 27 28 32 35 39 38 36 39 40 
1 2 3 5 8 8 11 15 12 12 11 19 22 24 32 38 39 39 39 40 
2 4 6 10 13 19 22 25 26 29 33 36 35 35 36 36 36 38 39 40 
1 2 3 5 5 5 10 11 12 15 21 23 28 30 32 37 37 39 39 40 
2 3 7 9 15 20 26 23 24 26 27 29 31 32 36 36 39 39 39 40 
3 5 5 8 10 10 13 17 25 29 27 26 32 30 33 33 38 37 37 40 
1 4 5 5 8 15 18 23 29 31 32 31 33 36 36 38 39 39 39 40 
2 2 5 5 7 6 8 7 12 14 16 16 20 25 25 29 33 37 39 40 
4 8 8 8 7 9 15 23 23 26 32 32 32 26 28 30 29 35 37 40 
4 4 7 5 4 4 10 14 17 23 25 29 32 35 35 35 35 35 38 40 
3 1 2 8 9 10 17 22 23 26 30 35 34 34 35 38 36 37 38 40 
1 2 2 4 5 12 13 16 20 21 24 23 24 23 24 27 30 31 36 40 
1 1 4 7 9 16 19 21 26 29 30 28 26 30 33 33 34 38 37 40 
3 5 7 13 15 18 21 19 20 19 21 24 25 30 32 37 37 39 39 40 
1 2 2 3 3 5 7 13 17 16 27 29 27 28 33 33 31 32 38 40 
3 4 3 3 6 5 8 10 12 14 18 20 25 28 33 33 29 34 39 40 
4 4 4 7 9 10 8 17 20 18 18 18 21 31 31 33 36 37 38 40 
4 7 7 10 13 19 20 24 26 26 27 32 32 30 30 35 35 37 38 40 
4 6 11 13 16 12 10 15 15 17 21 22 24 26 29 33 36 37 37 40 
2 4 6 7 10 12 13 20 31 28 31 34 36 36 36 35 37 37 38 40 
2 2 4 5 4 6 9 12 17 23 26 33 34 34 36 39 39 38 39 40 
1 4 3 7 11 11 11 15 13 16 17 18 21 23 26 26 32 30 36 40 
2 8 6 9 14 18 19 24 28 30 31 32 35 38 37 36 37 38 38 40 
5 5 8 8 6 7 12 15 18 20 21 29 35 36 39 39 39 39 39 40 
1 2 4 4 7 11 17 18 24 20 24 29 31 28 27 33 35 38 39 40 
2 3 3 3 6 5 7 7 11 14 12 14 17 19 23 32 35 37 39 40 
2 1 3 1 1 2 6 9 12 13 17 15 17 23 25 28 35 37 37 40 
2 4 7 11 13 13 13 14 17 22 22 25 29 28 34 36 38 38 39 40 
1 3 5 13 16 19 20 24 25 23 24 26 31 35 35 35 36 38 39 40 
3 8 11 15 19 26 24 23 25 29 33 33 36 37 39 39 38 37 39 40 
3 7 11 15 18 18 22 26 30 28 29 26 28 31 32 36 36 36 39 40 
3 5 3 4 6 5 7 8 7 6 11 13 20 27 26 26 32 35 35 40 
1 2 4 7 9 11 20 21 20 24 29 28 27 30 31 33 35 35 39 40 
2 4 6 10 13 9 13 21 20 16 15 16 22 26 28 30 34 37 39 40 
1 3 5 12 14 15 18 19 18 18 21 26 27 29 33 36 38 38 39 40 
3 5 5 7 8 8 11 11 11 12 15 15 19 26 25 29 30 34 39 40 
6 10 7 8 12 16 12 10 13 19 23 26 31 31 30 33 32 35 39 40 
2 4 4 5 9 13 9 13 15 23 29 32 32 35 35 34 36 37 39 40 
1 4 5 3 4 3 2 4 5 9 12 10 11 17 22 28 31 33 37 40 
3 5 9 8 15 18 12 13 15 16 19 20 20 28 31 32 35 36 39 40 
