4 6 8 12 11 11 13 17 15 18 17 19 18 18 18 21 20 22 22 19 23 23 31 30 31 30 31 26 24 19 19 16 10 13 11 14 13 15 13 10 15 17 20 12 12 15 19 23 19 18 19 19 19 23 24 26 24 26 28 31 34 35 36 35 33 30 29 30 35 34 32 33 35 34 31 29 36 37 39 40 
2 4 6 9 11 12 8 10 12 14 14 15 12 14 13 10 11 12 13 20 20 21 23 21 20 23 26 25 27 26 22 24 30 31 34 33 34 35 34 33 33 32 33 36 34 35 35 34 31 32 33 34 33 33 31 33 30 26 27 23 22 26 31 35 36 37 37 36 34 31 33 28 27 30 31 34 31 31 35 40 
2 3 3 4 4 6 9 10 9 8 3 5 6 5 7 8 9 9 9 15 18 15 12 17 22 25 23 23 18 21 21 20 25 27 26 30 30 30 30 32 34 35 37 36 36 36 34 36 38 36 38 35 32 33 31 32 32 34 34 35 34 34 34 31 35 36 37 36 32 29 31 36 36 36 36 39 39 39 39 40 
3 5 3 4 7 6 5 5 5 6 7 7 6 7 6 5 3 5 5 3 3 2 3 3 1 1 1 2 4 3 4 4 5 11 15 16 19 19 24 25 28 25 21 18 17 13 14 18 16 11 11 8 12 15 17 17 18 19 25 30 27 30 31 33 35 37 37 34 34 30 33 35 33 34 37 39 39 39 39 40 
4 3 3 5 8 10 9 10 10 9 11 9 15 17 14 15 14 18 15 19 18 15 14 14 11 11 13 9 16 15 16 8 8 10 18 17 17 19 19 16 19 20 17 15 12 17 13 12 12 10 12 15 15 18 18 17 17 17 20 24 25 23 29 29 27 28 30 32 33 31 31 31 32 31 31 35 35 35 38 40 
2 3 4 5 4 4 2 2 2 4 4 5 6 5 6 8 7 7 9 9 13 14 19 19 19 16 19 20 15 10 4 6 4 4 9 9 13 19 20 22 26 27 31 31 33 34 37 38 38 36 35 32 30 29 26 24 25 27 24 20 22 23 22 23 24 26 25 29 31 33 29 25 23 23 24 30 34 39 39 40 
1 1 2 6 6 7 5 3 2 4 2 1 1 2 1 2 2 1 2 5 7 9 12 10 11 12 13 14 14 12 13 15 15 13 7 10 10 10 9 7 8 5 10 15 17 10 17 18 20 21 20 13 11 14 17 10 10 9 12 16 23 27 23 25 23 21 19 19 22 27 30 34 33 36 36 38 39 39 39 40 
1 3 4 4 6 5 4 10 10 9 8 10 5 4 2 3 6 8 8 8 10 8 6 7 8 14 15 13 16 19 21 26 24 22 21 18 21 16 23 26 26 28 27 27 30 30 27 31 29 34 34 37 36 34 34 37 33 34 37 36 36 34 35 34 28 35 34 35 36 37 35 33 32 33 34 34 36 37 39 40 
3 8 8 6 9 6 8 10 10 14 11 8 9 11 17 14 16 20 17 17 17 15 17 18 18 17 16 12 11 13 20 17 13 10 14 18 14 12 13 16 14 17 21 21 25 22 24 27 27 29 30 29 32 32 33 33 29 25 26 32 36 34 33 29 26 26 30 24 21 28 28 27 31 31 33 35 37 39 39 40 
1 3 4 6 6 9 13 13 14 14 13 19 20 15 14 13 12 10 16 17 13 11 14 17 12 13 9 10 12 8 8 5 7 9 5 5 5 6 5 5 5 8 7 9 9 9 9 12 11 10 16 8 12 12 16 22 21 23 21 23 19 18 22 25 23 21 26 29 31 30 32 30 32 34 34 36 37 38 39 40 
2 1 2 1 2 2 3 5 5 6 7 8 7 8 11 11 12 13 8 12 12 12 12 12 10 8 7 5 7 6 5 6 7 10 11 12 11 12 9 9 10 9 6 8 11 13 14 10 9 7 16 12 14 18 18 21 23 29 27 26 27 28 31 33 33 34 35 30 24 28 23 23 26 23 22 30 29 35 38 40 
2 4 6 7 7 9 12 13 13 13 21 20 20 19 17 17 14 14 15 18 18 18 18 15 15 11 15 15 15 11 8 9 9 11 13 14 16 11 18 24 23 16 16 15 18 17 19 19 19 21 18 18 18 20 22 22 22 25 28 28 27 30 27 27 26 23 16 15 19 19 23 22 22 25 28 30 34 37 38 40 
3 4 6 8 6 8 9 11 8 7 7 9 11 10 15 14 19 22 19 23 20 20 24 23 22 19 11 14 19 16 17 17 18 17 17 17 21 23 18 15 18 21 25 21 20 20 19 20 20 20 15 21 19 22 23 23 27 27 27 22 24 26 27 31 28 30 27 26 31 35 39 39 38 38 38 39 39 39 39 40 
3 2 1 2 3 3 5 5 4 5 4 5 4 3 4 7 10 13 12 14 17 21 24 25 29 22 23 23 22 19 18 20 16 15 18 21 18 13 17 14 12 15 20 20 22 25 22 20 22 20 22 23 24 24 23 30 24 18 22 25 28 25 26 28 26 31 34 36 35 37 37 37 38 37 37 37 37 39 39 40 
1 2 1 3 4 11 15 19 18 19 24 28 30 30 32 38 36 36 38 37 36 37 38 39 38 38 38 36 37 34 33 34 33 34 33 31 36 33 31 29 27 30 31 32 28 25 26 26 30 29 27 34 29 29 29 23 23 26 29 32 29 32 31 31 32 32 32 32 34 34 34 35 34 32 30 31 32 36 39 40 
1 1 1 2 2 3 6 6 4 2 5 4 2 4 8 8 9 7 10 15 22 17 19 23 24 25 29 31 27 27 28 28 31 28 31 29 27 26 29 31 35 36 38 38 37 38 38 38 39 37 36 36 33 35 35 33 35 33 36 36 36 34 35 36 36 36 35 36 36 36 37 38 38 39 39 38 39 39 39 40 
2 4 4 8 8 10 8 7 8 8 8 13 10 12 16 14 24 24 24 27 25 27 26 27 25 26 24 21 19 16 15 18 18 18 14 15 22 23 25 25 23 24 22 25 21 21 15 13 13 10 9 15 22 26 29 29 28 32 30 36 38 38 36 38 38 37 37 34 36 36 36 35 38 38 37 36 37 38 38 40 
2 4 4 7 5 5 2 3 6 8 8 7 7 6 6 5 3 3 4 5 3 4 4 6 7 6 3 6 5 8 8 12 17 19 15 11 14 16 20 14 11 10 10 9 8 7 11 16 22 19 20 23 21 26 30 28 30 30 29 32 31 28 31 31 30 34 34 34 33 33 36 34 31 33 35 36 37 39 38 40 
2 4 5 4 3 4 5 4 3 2 8 10 10 8 10 11 11 12 10 14 18 24 25 27 28 31 30 33 32 27 27 29 28 18 22 19 17 19 18 19 20 17 12 11 16 18 17 14 17 16 22 22 24 29 32 35 34 29 26 28 27 33 35 36 35 36 32 31 31 35 36 37 36 36 38 39 39 38 39 40 
2 1 2 2 2 2 3 5 9 11 12 11 10 17 14 10 11 17 17 16 15 16 15 17 20 22 24 23 25 24 26 23 17 16 15 13 14 12 12 13 7 8 9 7 4 6 6 11 15 17 17 19 20 23 24 28 27 32 34 29 31 26 26 23 24 26 29 28 32 32 33 34 31 33 33 35 38 38 39 40 
1 2 3 3 4 3 3 3 3 3 2 2 2 4 4 4 5 5 7 6 3 3 3 3 7 8 6 6 5 7 7 4 6 4 7 6 9 8 8 5 2 4 7 13 20 23 24 24 21 25 29 27 28 25 28 30 29 28 31 34 36 32 33 32 31 34 32 31 37 36 39 38 35 38 39 38 38 39 39 40 
5 4 7 9 9 10 10 11 12 17 15 13 12 14 20 20 24 17 15 17 18 20 15 15 16 23 27 25 26 29 30 27 30 27 28 29 30 27 26 24 24 24 21 19 20 19 18 16 13 17 13 17 15 10 12 15 11 11 9 9 10 11 12 16 18 22 26 25 27 27 32 30 28 33 32 30 35 37 39 40 
1 1 2 6 8 5 5 7 8 6 5 7 6 10 11 15 18 17 18 20 20 18 23 26 22 22 23 24 25 25 23 26 27 26 30 27 26 27 28 28 33 34 35 35 36 37 37 36 37 37 37 37 38 36 35 39 39 38 38 37 35 34 36 37 38 39 38 38 39 38 35 36 34 36 36 34 35 34 37 40 
2 2 6 6 8 11 10 8 7 5 4 8 8 11 8 9 9 8 10 12 16 20 24 23 25 20 11 15 16 17 19 22 27 26 18 15 19 20 16 14 17 18 22 19 20 24 20 21 14 16 21 24 22 21 25 26 22 22 26 25 28 29 29 29 29 27 23 26 33 32 34 33 33 37 39 39 37 36 36 40 
