7 19 5.7836 33.5426
8 173 6.48213 42.2062
9 1108 7.21733 52.322
10 4756 7.83597 61.7518
11 14949 8.4405 71.7088
12 37919 9.01663 81.9204
13 82737 9.57696 92.5088
14 161538 10.1059 103.123
15 284339 10.6222 114.061
16 459240 11.1172 125.088
17 695306 11.5985 136.311
18 992555 12.0643 147.657
19 1360089 12.5128 159.037
20 1786610 12.9482 170.512
21 2276136 13.3706 182.045
22 2809436 13.7758 193.503
23 3391476 14.17 205.005
24 4004537 14.5512 216.476
25 4642935 14.92 227.895
26 5292565 15.2782 239.295
27 5954278 15.6262 250.658
28 6604636 15.961 261.881
29 7244761 16.2882 273.118
30 7872509 16.6042 284.209
31 8475529 16.9087 295.151
32 9056785 17.2067 306.079
33 9598328 17.4948 316.879
34 10116007 17.7744 327.546
35 10584675 18.0455 338.1
36 11028227 18.3069 348.476
37 11429710 18.5625 358.793
38 11786760 18.807 368.851
39 12113103 19.047 378.878
40 12399674 19.2792 388.727
